Location/Bldng_name,Area,Price
"Residential land / Plotin Choutuppal, Hyderabad","2,403 sqft(223 sqm)",20 Lac
"2 BHK Flatin Nallagandla, Hyderabad","1,360 sqft(126 sqm)",1.09 Cr
"3 BHK Flatin Patancheru, Hyderabad","1,367 sqft(127 sqm)",62.9 Lac
"3 BHK FlatinPatancheru, Hyderabad","1,367 sqft(127 sqm)",62.9 Lac
"3 Bedroom Housein Vaishali Nagar Extension, Jaipur","890 - 1,224 sqft(83 - 114 sqm)",40.11  - 64.21 Lac
"3 BHK Flatin Mahapura, Jaipur",926 sqft(86 sqm),34 Lac
"2 BHK FlatinKalwar Road, Jaipur",900 sqft(84 sqm),22 Lac
"2 BHK Flatin Thagarapuvalasa, Visakhapatnam","1,083 - 1,100 sqft(101 - 102 sqm)",37.9  - 38.5 Lac
"3 Bedroom Housein Vepagunta, Visakhapatnam","2,100 - 2,690 sqft(195 - 250 sqm)",1.3  - 1.67 Cr
"Residential land / PlotinAnandapuram , Visakhapatnam","21,600 sqft(2,007 sqm)",7.92 Cr
"3 BHK FlatinYendada, Visakhapatnam","1,872 sqft(174 sqm)",1.5 Cr
"6 Bedroom HouseinBalayya Sastri Layout, Visakhapatnam","5,400 sqft(502 sqm)",12 Cr
"2 BHK FlatinMidhilapuri Vuda Colony, Visakhapatnam","1,236 sqft(115 sqm)",77 Lac
"3 BHK FlatinSheela Nagar, Visakhapatnam","1,680 sqft(156 sqm)",85 Lac
"3 BHK FlatinNarasimha Nagar, Visakhapatnam","1,428 sqft(133 sqm)",1.2 Cr
"3 BHK FlatinKurmanpalem, Visakhapatnam","1,660 sqft(154 sqm)",78 Lac
"3 BHK FlatinLankelapalem, Visakhapatnam","1,360 sqft(126 sqm)",45 Lac
4 BHK Flatin New Chandigarh,"4,390 sqft(408 sqm)",3.75 Cr
9 Bedroom Housein Sector 33 Chandigarh,"4,752 sqft(441 sqm)",17.5 Cr
"4 BHK FlatinMadhapar, Rajkot","1,160 sqft(108 sqm)",40 Lac
"3 BHK FlatinMota Mava, Rajkot","1,700 sqft(158 sqm)",90 Lac
"3 BHK FlatinJagnath Plot, Rajkot",800 sqft(74 sqm),70 Lac
"3 BHK FlatinMota Mava, Rajkot","1,250 sqft(116 sqm)",74 Lac
"3 Bedroom HouseinRail Nagar, Rajkot",864 sqft(80 sqm),81 Lac
"3 BHK FlatinMota Mava, Rajkot","1,251 sqft(116 sqm)",74 Lac
"2 BHK FlatinMaruti Nagar, Rajkot",730 sqft(68 sqm),42 Lac
"3 Bedroom HouseinParsana Nagar, Rajkot",864 sqft(80 sqm),70 Lac
"2 Bedroom HouseinKalavad Road, Rajkot",904 sqft(84 sqm),72 Lac
"2 BHK FlatinMadhapar, Rajkot",574 sqft(53 sqm),30 Lac
"Residential land / PlotinGondal, Rajkot","1,962 sqft(182 sqm)",37 Lac
"2 BHK FlatinGhanteshwer, Rajkot",630 sqft(59 sqm),35 Lac
"Residential land / PlotinKuvadva, Rajkot",688 sqft(64 sqm),7 Lac
"3 Bedroom HouseinUniversity Road, Rajkot","2,174 sqft(202 sqm)",2.06 Cr
"2 BHK FlatinMadhapar, Rajkot",574 sqft(53 sqm),30 Lac
"4 BHK FlatinRace Course, Rajkot","2,450 sqft(228 sqm)",1.65 Cr
"4 Bedroom HouseinRailnagar, Rajkot","1,750 sqft(163 sqm)",65 Lac
"2 BHK FlatinPrahlad Plot, Rajkot","1,050 sqft(98 sqm)",65.51 Lac
"3 BHK FlatinKalavad Road, Rajkot","1,025 sqft(95 sqm)",78 Lac
"3 BHK FlatinMadhapar, Rajkot","1,250 sqft(116 sqm)",45 Lac
"8 Bedroom HouseinShubhash Nagar, Rajkot",328 sqft(30 sqm),3.5 Cr
"2 BHK Flatin Jahangirabad, Surat","1,250 sqft(116 sqm)",45 Lac
"2 BHK Flatin Jahangirabad, Surat",715 - 749 sqft(66 - 70 sqm),Price on Request
"Residential land / Plotin Karuppayurani, Madurai","2,000 sqft(186 sqm)",27.5 Lac
"Residential land / Plotin Tirumangalam, Madurai","1,200 sqft(111 sqm)",9.48 Lac
"Residential land / PlotinKallikudi, Madurai","1,001,880 sqft(93,078 sqm)",3.3 Cr
"4 Bedroom HouseinMoondrumavadi, Madurai","2,800 sqft(260 sqm)",1.26 Cr
